time,USEmbassy,RenkeLUMS,PAirGardenTown,PAirDHAPhase2,PAirAnarkali,PAirHarbanspura,PAirDefenceChowk,PAirIqbalTown,PAirAkbarChowk,PAirTownship,MetStation,DentalCollege,EPAGulberg
1/1/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,159.093,440.88,-1
1/2/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,111.831,446.313,-1
1/3/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.487,257.009,-1
1/4/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,113.901,-1,-1
1/5/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90.38,-1,-1
1/6/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62.732,-1,-1
1/7/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93.595,175.168,-1
1/8/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90.026,209.285,-1
1/9/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.258,201.819,-1
1/10/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82.336,208.404,-1
1/11/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99.026,212.782,-1
1/12/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76.449,76.449,-1
1/13/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31.984,72.122,-1
1/14/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37.462,99.753,-1
1/15/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.989,217.439,-1
1/16/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.198,274.757,-1
1/17/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,91.003,277.076,-1
1/18/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.153,232.196,-1
1/19/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57.166,231.868,-1
1/20/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.793,201.236,-1
1/21/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.325,85.715,-1
1/22/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.382,45.805,-1
1/23/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45.201,67.371,-1
1/24/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79.851,155.754,-1
1/25/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.374,196.062,-1
1/26/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77.873,163.862,-1
1/27/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52.023,319.068,-1
1/28/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55.692,257.743,-1
1/29/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44.914,134.676,-1
1/30/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39.459,261.908,-1
1/31/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15.281,63.282,-1
2/1/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.123,70.435,-1
2/2/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.533,134.949,-1
2/3/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.892,220.817,-1
2/4/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.126,216.486,-1
2/5/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.545,212.325,-1
2/6/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.4,124.729,-1
2/7/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61.51,-1
2/8/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53.459,-1
2/9/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,109.634,-1
2/10/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,148.333,-1
2/11/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31.683,197.839,-1
2/12/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96.545,244.796,-1
2/13/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51.306,51.306,-1
2/14/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,103.276,103.276,-1
2/15/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,123.086,85.411,-1
2/16/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,105.12,144.411,-1
2/17/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,88.474,138.667,-1
2/18/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45.284,50.424,-1
2/19/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.124,56.028,-1
2/20/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.693,72.693,-1
2/21/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43.539,52.397,-1
2/22/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51.469,51.469,-1
2/23/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78.336,197.965,-1
2/24/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76.264,109.568,-1
2/25/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86.01,194.567,-1
2/26/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55.717,65.762,-1
2/27/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.476,-1,-1
2/28/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82.903,77.646,-1
3/1/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97.28,122.346,-1
3/2/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39.124,52.144,-1
3/3/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50.929,56.719,-1
3/4/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.768,86.572,-1
3/5/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78.363,121.19,-1
3/6/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.498,162.141,-1
3/7/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79.168,95.386,-1
3/8/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76.308,76.308,-1
3/9/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.38,100.506,-1
3/10/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60.529,98.742,-1
3/11/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48.958,53.265,-1
3/12/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74.762,55.68,-1
3/13/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.457,182.668,-1
3/14/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74.658,90.923,-1
3/15/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.747,103.769,-1
3/16/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.187,194.976,-1
3/17/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61.851,131.313,-1
3/18/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78.037,137.952,-1
3/19/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.33,117.396,-1
3/20/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.755,24.959,-1
3/21/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52.965,-1,-1
3/22/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59.299,-1,-1
3/23/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48.507,-1,-1
3/24/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53.181,-1,-1
3/25/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.907,-1,-1
3/26/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.91,-1,-1
3/27/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84.879,-1,-1
3/28/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.779,-1,-1
3/29/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82.261,-1,-1
3/30/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3/31/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.059,-1,-1
4/1/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51.743,-1,-1
4/2/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62.149,-1,-1
4/3/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.765,-1,-1
4/4/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99.162,-1,-1
4/5/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93.484,-1,-1
4/6/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.2,-1,-1
4/7/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.861,-1,-1
4/8/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35.807,-1,-1
4/9/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50.943,-1,-1
4/10/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39.469,-1,-1
4/11/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41.21,-1,-1
4/12/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.808,-1,-1
4/13/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34.45,-1,-1
4/14/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.723,-1,-1
4/15/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48.213,-1,-1
4/16/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.807,-1,-1
4/17/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.613,-1,-1
4/18/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.57,-1,-1
4/19/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.241,-1,-1
4/20/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.717,-1,-1
4/21/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.377,-1,-1
4/22/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59.29,-1,-1
4/23/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62.854,-1,-1
4/24/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.759,-1,-1
4/25/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41.531,-1,-1
4/26/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31.946,-1,-1
4/27/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49.935,-1,-1
4/28/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.148,-1,-1
4/29/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50.074,-1,-1
4/30/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35.23,-1,-1
5/1/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39.125,-1,-1
5/2/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.35,-1,-1
5/3/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31.898,-1,-1
5/4/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39.268,-1,-1
5/5/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55.737,-1,-1
5/6/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55.288,-1,-1
5/7/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55.447,-1,-1
5/8/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52.937,-1,-1
5/9/2019,166.4095238,-1,-1,-1,-1,-1,-1,-1,-1,-1,74.763,-1,-1
5/10/2019,95.825,-1,-1,-1,-1,-1,-1,-1,-1,-1,55.086,-1,-1
5/11/2019,150.6416667,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.742,-1,-1
5/12/2019,120.9791667,-1,-1,-1,-1,-1,-1,-1,-1,-1,53.112,-1,-1
5/13/2019,130.7083333,-1,-1,-1,-1,-1,-1,-1,-1,-1,61.361,-1,-1
5/14/2019,60.02083333,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.71,-1,-1
5/15/2019,110.0041667,-1,-1,-1,-1,-1,-1,-1,-1,-1,45.254,-1,-1
5/16/2019,98.75833333,-1,-1,-1,-1,-1,-1,-1,-1,-1,48.435,-1,-1
5/17/2019,109.6958333,-1,-1,-1,-1,-1,-1,-1,-1,-1,53.192,-1,-1
5/18/2019,75.60833333,-1,-1,-1,-1,-1,-1,-1,-1,-1,37.124,-1,-1
5/19/2019,111.4833333,-1,-1,-1,-1,-1,-1,-1,-1,-1,49.345,-1,-1
5/20/2019,87.87083333,-1,-1,-1,-1,-1,-1,-1,-1,-1,32.593,-1,-1
5/21/2019,94.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37.198,-1,-1
5/22/2019,165.0291667,-1,-1,-1,-1,-1,-1,-1,-1,-1,54.841,-1,-1
5/23/2019,66.19166667,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.613,-1,-1
5/24/2019,70.35,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.938,-1,-1
5/25/2019,60.0875,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.825,-1,-1
5/26/2019,76.25833333,-1,-1,-1,-1,-1,-1,-1,-1,-1,35.57,-1,-1
5/27/2019,94.44583333,-1,-1,-1,-1,-1,-1,-1,-1,-1,33.547,-1,-1
5/28/2019,109.3458333,-1,-1,-1,-1,-1,-1,-1,-1,-1,41.232,-1,-1
5/29/2019,129.9416667,-1,-1,-1,-1,-1,-1,-1,-1,-1,46.67,-1,-1
5/30/2019,212.2956522,-1,-1,-1,-1,-1,-1,-1,-1,-1,58.468,-1,-1
5/31/2019,111.1083333,-1,-1,-1,-1,-1,-1,-1,-1,-1,46.089,-1,-1
6/1/2019,159.3166667,-1,-1,-1,-1,-1,-1,-1,-1,-1,52.131,-1,-1
6/2/2019,93.38333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,40.556,-1,-1
6/3/2019,161.5291667,-1,-1,-1,-1,-1,-1,-1,-1,-1,62.475,-1,-1
6/4/2019,73.625,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.455,-1,-1
6/5/2019,72.07083333,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.879,-1,-1
6/6/2019,54.175,-1,-1,-1,-1,-1,-1,-1,-1,-1,15.431,-1,-1
6/7/2019,69.88333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.9,-1,-1
6/8/2019,85.0125,-1,-1,-1,-1,-1,-1,-1,-1,-1,32.146,-1,-1
6/9/2019,81.92083333,-1,-1,-1,-1,-1,-1,-1,-1,-1,32.186,-1,-1
6/10/2019,92.125,-1,-1,-1,-1,-1,-1,-1,-1,-1,39.7,-1,-1
6/11/2019,94.67083333,-1,-1,-1,-1,-1,-1,-1,-1,-1,46.478,-1,-1
6/12/2019,75.40416667,-1,-1,-1,-1,-1,-1,-1,-1,-1,35.049,-1,-1
6/13/2019,55.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.874,-1,-1
6/14/2019,71.10833333,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.653,-1,-1
6/15/2019,114.6916667,-1,-1,-1,-1,-1,-1,-1,-1,-1,38.511,-1,-1
6/16/2019,62.39166667,-1,-1,-1,-1,-1,-1,-1,-1,-1,33.934,-1,-1
6/17/2019,68.39583333,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.08,-1,-1
6/18/2019,54.77916667,-1,-1,-1,-1,-1,-1,-1,-1,-1,42.053,-1,-1
6/19/2019,91.15416667,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.184,-1,-1
6/20/2019,74.12916667,-1,-1,-1,-1,-1,-1,-1,-1,-1,42.532,-1,-1
6/21/2019,117.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,48.254,-1,-1
6/22/2019,75.42916667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6/23/2019,78.8375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6/24/2019,87.02916667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6/25/2019,121.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6/26/2019,90.17916667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6/27/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6/28/2019,128.9833333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6/29/2019,73.5375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6/30/2019,70.36666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7/1/2019,64.43333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,34.938,-1,-1
7/2/2019,70.65833333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7/3/2019,70.42083333,-1,-1,-1,-1,-1,-1,-1,-1,-1,37.645,-1,-1
7/4/2019,75.8375,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.653,-1,-1
7/5/2019,47.70833333,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.378,-1,-1
7/6/2019,59.79130435,-1,-1,-1,-1,-1,-1,-1,-1,-1,33.19,-1,-1
7/7/2019,68.45416667,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.837,-1,-1
7/8/2019,65.57916667,-1,-1,-1,-1,-1,-1,-1,-1,-1,40.458,-1,-1
7/9/2019,48.89166667,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.511,-1,-1
7/10/2019,65.63333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,45.075,-1,-1
7/11/2019,60.20833333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7/12/2019,100.8875,-1,-1,-1,-1,-1,-1,-1,-1,-1,90.801,-1,-1
7/13/2019,70.19166667,-1,-1,-1,-1,-1,-1,-1,-1,-1,45.733,-1,-1
7/14/2019,30.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.692,-1,-1
7/15/2019,61.07083333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7/16/2019,46.2375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7/17/2019,37.30833333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7/18/2019,43.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7/19/2019,53.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7/20/2019,59.5375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7/21/2019,51.825,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.577,96.333,-1
7/22/2019,68.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7/23/2019,82.67083333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7/24/2019,68.29166667,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.645,114.615,-1
7/25/2019,37.84166667,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.795,-1,-1
7/26/2019,36.32083333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7/27/2019,38.125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7/28/2019,52.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7/29/2019,67.63913043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7/30/2019,49.00416667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7/31/2019,38.625,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8/1/2019,43.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8/2/2019,27.51666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.225,34.246,-1
8/3/2019,35.44583333,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.61,57.007,-1
8/4/2019,40.6625,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.852,54.368,-1
8/5/2019,37.61666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8/6/2019,58.31666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8/7/2019,42.9173913,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8/8/2019,84.64166667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8/9/2019,91.0375,-1,-1,-1,-1,-1,-1,-1,-1,-1,48.398,-1,-1
8/10/2019,70.34166667,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.024,-1,-1
8/11/2019,37.07916667,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.016,-1,-1
8/12/2019,40.175,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.9388,-1,-1
8/13/2019,36.74166667,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.205,-1,-1
8/14/2019,44.84583333,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.117,-1,-1
8/15/2019,45.54166667,-1,-1,-1,-1,-1,-1,-1,-1,-1,16.81,-1,-1
8/16/2019,33.98333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,15.228,-1,-1
8/17/2019,29.1125,-1,-1,-1,-1,-1,-1,-1,-1,-1,14.992,-1,-1
8/18/2019,48.60833333,-1,-1,-1,-1,-1,-1,-1,-1,-1,15.295,-1,-1
8/19/2019,39.16666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.554,-1,-1
8/20/2019,53.3125,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.751,-1,-1
8/21/2019,59.58333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,32.03,-1,-1
8/22/2019,47.59166667,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.036,-1,-1
8/23/2019,51.59583333,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.563,42.867,-1
8/24/2019,72.8125,-1,-1,-1,-1,-1,-1,-1,-1,-1,31.33,88.014,-1
8/25/2019,55.50833333,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.828,69.733,-1
8/26/2019,41.6125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8/27/2019,80.32083333,-1,-1,-1,-1,-1,-1,-1,-1,-1,34.759,129.886,-1
8/28/2019,132.9391304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8/29/2019,74.34583333,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.232,83.859,-1
8/30/2019,55.60416667,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.379,72.506,-1
8/31/2019,94.54166667,-1,-1,-1,-1,-1,-1,-1,-1,-1,34.124,109.635,-1
9/1/2019,74.01666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,37.824,96.947,-1
9/2/2019,86.17083333,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.851,64.312,-1
9/3/2019,86.75416667,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.627,104.961,-1
9/4/2019,87.59583333,-1,-1,-1,-1,-1,-1,-1,-1,-1,35.56,108.251,-1
9/5/2019,36.30833333,-1,-1,-1,-1,-1,-1,-1,-1,-1,14.69,44.706,-1
9/6/2019,60.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,25.284,79.672,-1
9/7/2019,53.4125,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.889,81.349,-1
9/8/2019,81.75833333,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.933,69.371,-1
9/9/2019,84.14166667,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.64,95.358,-1
9/10/2019,60.32083333,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.595,76.628,-1
9/11/2019,65.89166667,-1,-1,-1,-1,-1,-1,-1,-1,-1,32.394,87.255,-1
9/12/2019,77.40416667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80.854,-1
9/13/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.5,-1
9/14/2019,71.75416667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75.161,-1
